No,type,actualSym,NAME,symbol,RSISup,CAP,Category,Scrape,NonPenny,KMI100,KMIALL,WA_Perc,WA_short,WA_mid,WA_long,M_Perc,M_short,M_mid,M_SigLen,M_long
1,Index,Karachi Meezan 30,KMI30,Karachi Meezan 30,30,100000,,TRUE,,,,0,5,11,50,0,4,15,9,21
2,Index,Karachi 100,KSE100,Karachi 100,30,100000,,TRUE,,,,0,5,11,50,0,4,15,9,21
3,Index,KMI All Shares,KMIALLSHR,KMI All Shares,30,100000,,TRUE,,,,0,5,11,50,0,4,15,9,21
4,Index,OGTi,OGTi,OGTi,30,100000,,TRUE,,,,0,5,11,50,0,4,15,9,21
5,Index,BKTi,BKTi,BKTi,30,100000,,TRUE,,,,0,5,11,50,0,4,15,9,21
6,MF,KMIF,KSE Meezan Index Fund,KMIF,30,100000,,,,,,,,,,,,,,
7,MF,MAAF,Meezan Asset Allocation Fund,MAAF,30,100000,,,,,,,,,,,,,,
8,MF,MIF,Meezan Islamic Fund,MIF,30,100000,,,,,,0,5,11,50,0,4,15,9,21
9,MF,MGF,Meezan Gold Fund,MGF,30,100000,,,,,,0,5,11,50,0,4,15,9,21
10,MF,MEF,Meezan Energy Fund,MEF,30,100000,,,,,,0,5,11,50,0,4,15,9,21
27,PSX,MARI,Mari Petroleum Company Ltd.,MGAS,,38589,Bad,TRUE,TRUE,TRUE,TRUE,0,9,17,70,0,4,15,9,21
20,PSX,OGDC,Oil & Gas Development Company Ltd.,OGDC,,72481,OK,TRUE,TRUE,TRUE,TRUE,0,9,17,70,0,4,15,9,21
23,PSX,POL,Pakistan Oilfields Limited.,PKOL,,56309,OK,TRUE,TRUE,TRUE,TRUE,0,9,17,70,0,4,15,9,21
21,PSX,PPL,Pakistan Petroleum Limited.,PPL,,65761,OK,TRUE,TRUE,TRUE,TRUE,0,9,17,70,0,4,15,9,21
29,PSX,MEBL,Meezan Bank Limited.,AMZN,,29992,OK,TRUE,TRUE,TRUE,TRUE,0,9,17,70,0,4,15,9,21
19,PSX,MCB,MCB Bank Limited.,MCB,,74178,OK-Bank,TRUE,TRUE,TRUE,,0,9,17,70,0,4,15,9,21
22,PSX,UBL,United Bank Ltd.,UBL,,63133,OK-Bank,TRUE,TRUE,TRUE,,0,9,17,70,0,4,15,9,21
52,PSX,ABL,Allied Bank Ltd.,ABL,,14589,OK-Bank,TRUE,TRUE,TRUE,,0,9,17,70,0,4,15,9,21
11,PSX,HBL,Habib Bank Limited.,HBL,20,98440,OK-Bank,TRUE,TRUE,TRUE,,0,8,15,70,0,4,15,9,21
38,PSX,NBP,National Bank Of Pakistan.(XD),NBPK,,20797,OK-Bank,TRUE,TRUE,TRUE,,0,9,17,70,0,4,15,9,21
13,PSX,ENGRO,Engro Corporation Limited.,EGCH,30,97136,OK,TRUE,TRUE,TRUE,TRUE,0,8,15,70,0,4,15,9,21
18,PSX,FFC,Fauji Fertilizer Co. Ltd.,FAUF,,78132,OK,TRUE,TRUE,TRUE,,0,9,17,70,0,4,15,9,21
28,PSX,EFERT,Engro Fertilizers Limited.,ENGR,,36564,OK,TRUE,TRUE,TRUE,TRUE,0,9,17,70,0,4,15,9,21
15,PSX,LUCK,Lucky Cement Limited.,LUKC,,85550,OK,TRUE,TRUE,TRUE,TRUE,0,9,17,70,0,4,15,9,21
